Outcome_ID,Year,Quarter,Department,AI_Tool,Total_Cases,AI_Assisted_Cases,AI_Usage_Rate_%,Avg_Diagnosis_Time_min,Readmission_Rate_%,Mortality_Rate_%,False_Positive_Rate_%,False_Negative_Rate_%,Cost_Per_Case_USD,Patient_Wait_Time_min,Staff_Efficiency_Score,AI_Recommendation_Accepted_%,Critical_Alert_Response_Time_min
OUT_0001,2020,Q4,Oncology,AI Pathology,8943,7040,78.7,67.0,16.7,2.01,5.4,2.5,2078.28,60,5.9,51.2,28.3
OUT_0002,2022,Q1,Neurology,AI Diagnostics,179,89,49.7,98.3,12.3,2.81,8.1,5.4,718.63,164,9.7,76.8,7.2
OUT_0003,2021,Q4,Radiology,AI Drug Discovery,9591,6549,68.3,75.8,11.9,6.63,10.9,6.2,1946.77,128,6.3,94.2,28.3
OUT_0004,2023,Q3,ICU,NLP for Medical Records,1285,797,62.0,110.5,8.6,4.56,10.0,9.0,1946.89,175,7.6,59.9,20.1
OUT_0005,2022,Q2,Radiology,AI Drug Discovery,191,150,78.5,102.3,4.8,4.37,8.7,3.8,4549.53,149,7.7,91.2,12.9
OUT_0006,2022,Q3,Emergency,Chatbot Triage,6001,3133,52.2,25.6,14.7,6.27,5.4,9.1,874.17,125,5.9,54.9,12.1
OUT_0007,2022,Q4,ICU,Patient Monitoring AI,2887,1042,36.1,16.7,4.0,2.22,7.0,3.2,1666.58,78,6.1,57.2,11.6
OUT_0008,2022,Q3,Oncology,AI Pathology,1338,883,66.0,65.2,8.3,5.56,8.6,4.6,1525.97,30,6.1,66.8,17.6
OUT_0009,2021,Q4,Neurology,Chatbot Triage,5677,3172,55.9,57.8,17.1,5.77,9.4,4.3,4563.32,59,7.3,80.8,13.9
OUT_0010,2021,Q4,Cardiology,Radiology AI,4101,2205,53.8,114.6,8.8,2.96,11.1,5.7,1141.06,12,9.3,70.5,26.5
OUT_0011,2023,Q2,ICU,Radiology AI,5376,3218,59.9,36.1,14.3,5.83,3.3,5.0,3351.93,139,9.3,71.9,27.5
OUT_0012,2021,Q3,Radiology,Predictive Analytics,9877,9270,93.9,67.8,13.5,7.34,12.1,3.5,2715.84,30,8.2,64.8,19.4
OUT_0013,2024,Q1,Surgery,Predictive Analytics,4897,2624,53.6,64.0,10.4,7.81,2.5,3.1,1760.3,85,10.0,66.1,18.4
OUT_0014,2021,Q3,Pediatrics,AI Diagnostics,5968,4876,81.7,96.9,6.3,7.93,13.1,7.2,3385.71,132,5.8,78.7,17.3
OUT_0015,2021,Q3,Surgery,AI Drug Discovery,869,341,39.2,34.3,16.4,6.52,6.0,5.3,4378.71,168,8.3,55.8,11.0
OUT_0016,2022,Q1,Neurology,NLP for Medical Records,5408,3944,72.9,64.5,13.9,1.05,2.3,8.2,1026.23,146,8.2,83.8,14.5
OUT_0017,2022,Q3,Surgery,Radiology AI,3297,3018,91.5,59.2,12.3,5.46,12.3,5.8,3865.12,26,6.9,77.2,8.9
OUT_0018,2020,Q4,Radiology,AI Diagnostics,1002,402,40.1,117.9,4.2,2.35,13.0,6.9,2563.88,93,6.8,68.3,20.9
OUT_0019,2023,Q3,Pathology,AI Drug Discovery,1182,863,73.0,33.9,7.1,7.0,8.7,7.4,3910.7,64,9.7,91.4,8.6
OUT_0020,2024,Q1,Pathology,Predictive Analytics,4892,3758,76.8,8.3,6.0,4.27,7.9,6.9,1427.64,79,6.2,66.9,28.7
OUT_0021,2023,Q4,Pediatrics,AI Diagnostics,2175,2035,93.6,72.5,10.1,7.96,3.1,8.8,905.78,158,5.6,87.2,7.6
OUT_0022,2020,Q4,Cardiology,Chatbot Triage,4687,4218,90.0,100.9,15.0,6.43,12.2,0.8,2581.48,167,9.1,75.5,10.4
OUT_0023,2023,Q1,General Medicine,Radiology AI,2636,1942,73.7,39.2,10.6,7.9,6.1,5.5,4729.8,18,9.3,80.3,11.6
OUT_0024,2021,Q2,Emergency,Predictive Analytics,3682,3153,85.6,21.1,11.9,2.1,10.0,1.6,4729.88,118,8.6,56.2,5.3
OUT_0025,2021,Q3,General Medicine,NLP for Medical Records,9914,4327,43.6,43.2,9.2,7.95,2.3,1.2,4282.31,54,9.5,56.9,21.6
OUT_0026,2022,Q2,Emergency,Predictive Analytics,5838,2498,42.8,60.8,7.4,0.92,14.1,5.3,4364.74,61,8.1,69.8,22.1
OUT_0027,2021,Q3,Cardiology,AI Diagnostics,8811,5334,60.5,87.5,10.7,2.75,8.5,4.9,3862.04,80,6.2,97.1,16.2
OUT_0028,2022,Q4,Pathology,Robotic Surgery AI,1828,980,53.6,36.0,8.2,2.36,12.4,1.5,975.31,43,5.6,63.3,4.7
OUT_0029,2023,Q3,Emergency,AI Pathology,3064,2355,76.9,23.3,17.1,3.38,1.3,9.7,4996.1,102,8.2,65.5,11.1
OUT_0030,2023,Q1,Neurology,Predictive Analytics,9490,8341,87.9,15.4,14.2,7.74,1.1,4.3,1621.97,112,6.2,60.5,6.1
OUT_0031,2020,Q1,Pediatrics,Chatbot Triage,238,76,31.9,74.6,11.1,4.41,2.3,4.5,1657.23,171,7.3,86.9,28.3
OUT_0032,2020,Q1,Emergency,NLP for Medical Records,5641,2018,35.8,49.3,17.5,1.69,11.0,2.7,3370.66,21,5.4,65.8,12.3
OUT_0033,2023,Q2,Oncology,NLP for Medical Records,4842,2513,51.9,56.0,12.9,1.88,12.1,4.3,1023.32,140,7.3,75.5,27.4
OUT_0034,2021,Q2,Pediatrics,AI Pathology,8920,7887,88.4,55.8,10.1,4.43,13.6,0.9,4400.18,174,8.3,61.2,11.0
OUT_0035,2024,Q3,Surgery,Robotic Surgery AI,9825,4223,43.0,114.6,15.3,1.44,12.8,7.3,2720.07,57,7.0,60.8,8.5
OUT_0036,2022,Q1,Pediatrics,AI Diagnostics,506,303,59.9,111.4,11.9,6.96,2.8,6.7,4926.37,78,7.6,90.7,4.1
OUT_0037,2020,Q1,General Medicine,Chatbot Triage,3190,976,30.6,90.7,12.7,5.17,4.3,7.6,3525.41,158,6.9,63.3,4.8
OUT_0038,2022,Q3,Oncology,AI Diagnostics,8837,3645,41.2,83.2,4.0,3.11,13.4,5.7,314.43,33,8.8,88.1,16.6
OUT_0039,2022,Q4,Radiology,Radiology AI,3228,2740,84.9,92.5,3.8,5.59,3.3,9.9,1198.94,150,8.9,64.0,18.9
OUT_0040,2020,Q3,Neurology,Radiology AI,3512,1305,37.2,92.8,13.3,5.6,9.5,5.1,4285.92,65,6.9,77.0,24.7
OUT_0041,2024,Q4,Surgery,NLP for Medical Records,2680,1842,68.7,21.2,17.5,0.62,2.3,2.0,4068.67,114,5.2,79.3,24.9
OUT_0042,2020,Q4,Cardiology,NLP for Medical Records,675,376,55.7,36.6,11.6,3.29,4.1,4.6,1197.38,88,8.9,61.6,20.5
