Timestamp,  1.What best describes you?  ,  2. What is your level of education?  ,3. Age Group,4. Gender, 5. Do you use AI tools for learning or teaching?  ,6. Which AI tools do you use most frequently? (Select all that apply),  7. How often do you use AI in your studies or teaching?  ,  8. Has AI improved your learning or teaching experience?  ,"  9. Approximately how much time does AI save you each week for studying, preparing lessons, or completing assignments?  ",  10. AI helps me understand difficult concepts more effectively.  ,  11. Which educational benefit of AI do you value the most?  ,  12. Do you believe AI helps improve employability by supporting skill development?  ,  13. Do you think excessive use of AI reduces students' critical thinking and creativity?  ,14.  Are you concerned that students may misuse AI for assignments or examinations? ,15.  How concerned are you about privacy and data security while using AI-based educational platforms? , 16. Do you think teachers and students require training to use AI effectively and responsibly?  ,"17. Overall, how do you rate AI's impact on education in India?  "
2026-06-17 13:01:33.555,Working Professional pursuing education,Undergraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-17 13:04:36.361,Working ,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini",Weekly,Significantly,1–3 hours,Strongly Agree,Better Research Assistance,Yes,Agree,Highly Concerned,Not Concerned,Not Sure,Neutral
2026-06-17 13:07:02.827,College Student,Postgraduate,21–30 years,Male,Yes,ChatGPT,Rarely,Moderately,Less than 1 hour,Neutral,Faster Assignment Completion,Not Sure,Neutral,Moderately Concerned,Neutral,Yes,Positive
2026-06-17 13:12:58.707,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-17 13:14:43.424,College Student,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,1–3 hours,Agree,Skill Development,Yes,Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-17 13:22:30.523,College Student,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Microsoft Copilot, Duolingo",Daily,Significantly,1–3 hours,Strongly Agree,Skill Development,Yes,Strongly Agree,Not Concerned,Concerned,Yes,Very Positive
2026-06-17 13:34:35.219,Working Professional pursuing education,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,Less than 1 hour,Agree,Improved Accessibility,Yes,Agree,Highly Concerned,Neutral,Yes,Neutral
2026-06-17 13:42:31.360,Working ,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Microsoft Copilot, Grammarly",Monthly,Slightly,Less than 1 hour,Neutral,Language Translation,No,Strongly Agree,Highly Concerned,Very Concerned,Yes,Neutral
2026-06-17 13:42:32.216,Working ,Postgraduate,21–30 years,Female,Yes,ChatGPT,Weekly,Slightly,Less than 1 hour,Neutral,Personalized Learning,No,Strongly Agree,Highly Concerned,Very Concerned,Yes,Neutral
2026-06-17 13:45:55.409,Working Professional pursuing education,Postgraduate,18–20 years,Female,Yes,ChatGPT,Daily,Significantly,Less than 1 hour,Strongly Agree,Faster Assignment Completion,Yes,Strongly Agree,Moderately Concerned,Concerned,Yes,Positive
