Year,Quarter,Service_Type,Ministry_Department,Region,Total_Requests,AI_Processed_Requests,Resolved_Requests,Resolution_Rate_%,Avg_Processing_Time_Days,Error_Rate_%,Cost_Per_Request_INR,Citizen_Complaints,Repeat_Requests_%,Digital_Adoption_Rate_%,Fraud_Cases_Detected,Fraud_Amount_Saved_Lakh_INR
2023,Q2,Grievance Redressal,Ministry of Law & Justice,East India,167119,117721,88609,53.0,12.1,10.8,1729.53,899,2.6,54.9,153,126.55
2019,Q4,Healthcare Schemes,Ministry of Rural Development,East India,183698,65230,140187,76.3,7.1,13.0,1425.47,484,25.3,57.7,117,313.12
2022,Q4,Subsidy Distribution,Ministry of Rural Development,Central India,260012,56026,208236,80.1,27.6,10.2,1607.46,934,28.6,63.7,162,754.37
2021,Q3,Grievance Redressal,Ministry of Health,South India,94532,63100,53799,56.9,25.7,6.1,1519.66,825,17.9,91.9,404,36.35
2020,Q3,Healthcare Schemes,Ministry of Skill Development,East India,43758,20606,23285,53.2,6.4,12.4,1721.62,444,22.5,85.1,348,589.13
2021,Q2,Land Records,Ministry of IT,North India,161816,54969,134149,82.9,10.2,8.3,1847.92,158,21.8,52.3,295,176.86
2020,Q2,Tax Filing,Ministry of IT,West India,249576,104033,206978,82.9,25.6,12.1,960.97,147,10.2,68.8,210,515.91
2019,Q4,Passport Services,Ministry of Commerce,South India,80546,72171,71223,88.4,11.6,7.1,511.95,628,18.7,94.5,456,781.56
2020,Q1,Passport Services,Ministry of Rural Development,South India,471912,271707,276390,58.6,11.3,3.9,1382.03,794,28.0,42.1,366,561.55
2022,Q3,Permit Approvals,Ministry of Environment,North India,303356,187852,257238,84.8,27.2,4.8,882.18,149,10.0,25.5,428,737.87
2021,Q3,Education Enrollment,Ministry of Agriculture,South India,143358,65123,101348,70.7,8.0,9.8,194.05,975,4.4,48.8,116,120.17
2024,Q2,Education Enrollment,Ministry of Education,West India,287739,75645,238777,83.0,28.8,7.3,599.76,685,2.3,72.1,374,517.83
2022,Q2,Subsidy Distribution,Ministry of Science & Technology,Central India,416370,156163,243681,58.5,11.0,7.9,88.01,751,7.9,53.8,487,391.05
2020,Q4,Land Records,Ministry of Skill Development,West India,31737,13305,26693,84.1,28.1,5.9,532.77,486,6.7,75.1,405,197.25
2019,Q3,Permit Approvals,Ministry of Health,North India,402797,141071,332905,82.6,25.7,2.0,350.12,318,14.3,23.3,432,726.88
2019,Q4,Passport Services,Ministry of Agriculture,Central India,426720,281130,220922,51.8,3.8,5.0,841.33,144,19.2,36.6,381,527.73
2024,Q1,License Renewal,Ministry of Environment,North India,215516,160823,139082,64.5,8.6,6.2,609.71,599,16.7,34.3,498,336.32
2023,Q1,Police Complaints,Ministry of Rural Development,East India,352744,289650,228508,64.8,19.7,6.7,930.94,736,17.3,49.1,375,188.38
